animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,age_days
A718488,2014-12-31,Yaira,2016-09-13,09-2016,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,622
A732199,2014-08-04,*Charlotte,2016-09-13,09-2016,Transfer,Partner,Dog,Spayed Female,2 years,Canaan Dog Mix,White/Tan,771
A732711,2014-08-12,*Ash,2016-09-13,09-2016,Transfer,Partner,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Tricolor,763
A731638,2016-05-25,Unknown,2016-09-13,09-2016,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,111
A731634,2016-05-25,Unknown,2016-09-13,09-2016,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,111
A731623,2016-06-20,*Aden,2016-09-13,09-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,85
A731509,2016-05-31,*Aidan,2016-09-13,09-2016,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,105
A731510,2016-05-31,*Quinn,2016-09-13,09-2016,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black Smoke/White,105
A734537,2016-05-08,*Jolene,2016-09-13,09-2016,Transfer,Partner,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White,128
A734530,2015-09-08,*Frosty,2016-09-13,09-2016,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever,White,371
A734485,2015-09-07,*Babs,2016-09-13,09-2016,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever/Whippet,Black/White,372
A733656,2016-01-25,*Roberta,2016-09-13,09-2016,Transfer,Partner,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Blue,232
A733926,2011-08-29,Baby,2016-09-13,09-2016,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Black,1842
A675019,2012-09-21,Scout,2016-09-13,09-2016,Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Red/White,1453
A734149,2015-09-02,*Violet,2016-09-14,09-2016,Transfer,Partner,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Black,378
A734150,2016-07-18,*Lily,2016-09-14,09-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black,58
A734151,2016-07-18,*Rose,2016-09-14,09-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black,58
A734152,2016-07-18,*Poppy,2016-09-14,09-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black,58
A734153,2016-07-18,*Tulip,2016-09-14,09-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black,58
A734546,2016-06-16,*Kid Rock,2016-09-14,09-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,90
A734547,2016-06-16,*Tatertot,2016-09-14,09-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,90
A734548,2016-06-16,*Puddin Pop,2016-09-14,09-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,90
A731531,2016-06-16,*Alex,2016-09-16,09-2016,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,92
A731217,2016-06-03,*Piper,2016-09-16,09-2016,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue,105
A734522,2012-09-08,Caroline,2016-09-18,09-2016,Transfer,Partner,Dog,Intact Female,4 years,Boxer Mix,Brown Brindle/White,1471
A733621,2015-08-24,Lucy,2016-09-18,09-2016,Transfer,Partner,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black/Tricolor,391
A734879,2016-01-14,Lyric,2016-09-18,09-2016,Transfer,Partner,Dog,Intact Male,8 months,Australian Shepherd Mix,Black/Tan,248
A734819,2016-08-07,*Gladys,2016-09-19,09-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie/Gray,43
A734681,2015-06-25,Max,2016-09-20,09-2016,Transfer,Partner,Dog,Neutered Male,1 year,Rat Terrier Mix,Tan/White,453
A734671,2016-05-10,*Chrissy,2016-09-20,09-2016,Transfer,Partner,Dog,Spayed Female,4 months,Flat Coat Retriever Mix,Black,133
A734803,2016-05-31,*Hershey,2016-09-20,09-2016,Transfer,Partner,Dog,Neutered Male,3 months,Pit Bull/Labrador Retriever,Brown,112
A734804,2016-05-31,*Cocoa,2016-09-20,09-2016,Transfer,Partner,Dog,Spayed Female,3 months,Pit Bull/Labrador Retriever,Chocolate,112
A734701,2006-09-11,*Snow,2016-09-21,09-2016,Transfer,Partner,Dog,Neutered Male,10 years,Maltese Mix,White,3663
A735270,2016-08-21,Unknown,2016-09-21,09-2016,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,31
A734923,2016-07-08,*Dahlia,2016-09-22,09-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,76
A734924,2016-07-08,*Denton,2016-09-22,09-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,76
A734925,2016-07-08,*Dwila,2016-09-22,09-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,76
A734913,2016-03-15,*Tami,2016-09-22,09-2016,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Medium Hair Mix,Calico,191
A734907,2016-03-15,*Timmy,2016-09-22,09-2016,Transfer,Partner,Cat,Neutered Male,6 months,Domestic Medium Hair Mix,Cream Tabby/White,191
A734911,2016-03-15,*Mimi,2016-09-22,09-2016,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Medium Hair Mix,Tortie,191
A735289,2016-01-21,Unknown,2016-09-22,09-2016,Transfer,Partner,Cat,Intact Female,8 months,Domestic Shorthair Mix,Blue Tabby/White,245
A734700,2016-03-31,*Cecilia,2016-09-22,09-2016,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Torbie,175
A730859,2016-05-20,*Adam,2016-09-22,09-2016,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,125
A735229,2015-09-21,Unknown,2016-09-23,09-2016,Transfer,Partner,Dog,Intact Female,1 year,Pit Bull Mix,Brown Brindle,368
A735325,2016-05-22,Unknown,2016-09-24,09-2016,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White,125
A734660,2016-06-26,*Cameron,2016-09-24,09-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black/White,90
A732663,2016-04-11,*Beatrice,2016-09-24,09-2016,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Brown Tabby,166
A731948,2015-07-30,*Lyric,2016-09-25,09-2016,Transfer,Partner,Dog,Intact Female,1 year,Pit Bull Mix,Fawn/White,423
A730645,2012-07-07,*Midas,2016-09-25,09-2016,Transfer,Partner,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown,1541
A734921,2015-09-15,*D'Linda,2016-09-26,09-2016,Transfer,Partner,Dog,Spayed Female,1 year,Pointer Mix,White/Chocolate,377
A735153,2016-06-19,*Sirius,2016-09-26,09-2016,Transfer,Partner,Dog,Intact Male,3 months,Border Collie/German Shepherd,Black/White,99
A735077,2013-09-18,Spaz,2016-09-26,09-2016,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby,1104
A735078,2013-09-18,Sara,2016-09-26,09-2016,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black/White,1104
A735189,2013-09-20,*Rodan,2016-09-26,09-2016,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,1102
A734037,2016-06-01,Unknown,2016-09-26,09-2016,Transfer,Partner,Dog,Neutered Male,3 months,Whippet Mix,White/Tan,117
A733721,2015-08-26,*Clarice,2016-09-26,09-2016,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,397
A733225,2015-08-19,Lucy,2016-09-26,09-2016,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Sable/White,404
A732522,2014-08-09,Pandora,2016-09-26,09-2016,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,779
A731171,2011-07-17,Baja,2016-09-26,09-2016,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico,1898
A721876,2012-09-06,Junebug,2016-09-26,09-2016,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Black/Tan,1481
A721960,2014-03-08,Diamond,2016-09-26,09-2016,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan,933
A672396,2013-01-09,Layla,2016-09-26,09-2016,Transfer,Partner,Dog,Spayed Female,3 years,Basset Hound Mix,White/Red,1356
A623020,2010-09-28,Rocky,2016-09-26,09-2016,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Yellow,2190
A623164,2007-04-03,Rainbow,2016-09-26,09-2016,Transfer,Partner,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tricolor,3464
A734937,2014-09-15,Unknown,2016-09-27,09-2016,Transfer,Partner,Bird,Intact Male,2 years,Chicken Mix,Sable,743
A735146,2015-02-01,Trixie,2016-09-28,09-2016,Adoption,Foster,Dog,Spayed Female,1 year,Great Dane,White/Tan,605
A735187,2016-08-20,*Morris,2016-09-30,09-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,41
A735184,2016-08-20,*Mia,2016-09-30,09-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,41
A735185,2016-08-20,*Max,2016-09-30,09-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,41
A735722,2016-08-28,Unknown,2016-10-02,10-2016,Transfer,Partner,Other,Intact Male,5 weeks,Rabbit Sh Mix,Brown,35
A736002,2002-10-03,Praline,2016-10-03,10-2016,Return to Owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Black,5114
A735640,2015-09-26,*Irving,2016-10-04,10-2016,Adoption,,Dog,Neutered Male,1 year,Rat Terrier Mix,White/Brown,374
A736039,2016-08-03,Unknown,2016-10-04,10-2016,Transfer,Partner,Cat,Intact Male,2 months,Siamese Mix,Flame Point,62
A736040,2016-08-03,Unknown,2016-10-04,10-2016,Transfer,Partner,Cat,Unknown,2 months,Domestic Shorthair Mix,Gray,62
A736283,2003-10-08,Classy,2016-10-12,10-2016,Transfer,Partner,Dog,Intact Female,13 years,Pit Bull Mix,White,4753
A736337,2014-04-10,Loco,2016-10-13,10-2016,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,917
